Registration number,Legal name,Industry,City,address,Longitude,Latitude,Street Reference,Street nr
12-3456780,ABC Finance Ltd,Mortgage Brokerage,Miami Gardens,"1164 Northwest 167th Terrace, Miami Gardens, Florida",-80.21462,25.92838,5253,1164
12-3456790,Real Estate Dream Inc,Mortgage Brokerage,Homestead,"1106 SE 32nd Terrace, Homestead, Florida",-80.42865,25.46493,3432,1106
12-3456800,Derreck & Johns,Mortgage Brokerage,Deerfield Beach,"1806 Southwest 1st Avenue, Deerfield Beach, Florida",-80.10425,26.29857,922,1806
12-3456810,Samuel Patrick Sr,Mortgage Brokerage,Fort Lauderdale,"496 Northeast 56th Court, Fort Lauderdale, Florida",-80.10327,26.19743,2483,496
12-3456820,Louis Davidson Jr,Mortgage Brokerage,Fort Lauderdale,"383 Northwest 34th Terrace, Fort Lauderdale, Florida",-80.19414,26.20171,2668,383
12-3456830,Finance Real Estate Inc,Mortgage Brokerage,Miami,"1838 Northwest 17th Place, Miami, Florida",-80.22443,25.77631,4626,1838
12-3456840,ZYX Brokerage Inc,Mortgage Brokerage,Fort Lauderdale,"1726 Northeast 41st Street, Fort Lauderdale, Florida",-80.10430,26.17994,2454,1726
12-3456850,Mortgage Now !,Mortgage Brokerage,Delray Beach,"1349 Beachwood Drive, Delray Beach, Florida",-80.10729,26.48011,1116,1349
12-3456860,Loan and Mortgage Ltd,Mortgage Brokerage,Miami,"434 Northeast 60th Street, Miami, Florida",-80.18816,25.83159,4525,434
12-3456870,David & Johnson ,Mortgage Brokerage,Pinecrest,"239 Palmetto Expressway, Pinecrest, Florida",-80.31470,25.68039,5851,239
12-3456880,Marius Cohen & Co,Mortgage Brokerage,Miami,"765 Crystal Terrace, Miami, Florida",-80.22538,25.74207,4312,765
12-3456890,John Broderick Sr,Mortgage Brokerage,Fort Lauderdale,"1407 Northeast 25th Way, Fort Lauderdale, Florida",-80.11244,26.13338,2404,1407
12-3456900,Beach Condos Inc,Mortgage Brokerage,Pompano Beach,"709 Southwest 28th Avenue, Pompano Beach, Florida",-80.16004,26.21298,6625,709
12-3456910,Miami Financing Inc,Mortgage Brokerage,Homestead,"481 Sunrise Boulevard, Homestead, Florida",-80.45649,25.47395,3729,481
12-3456920,Fort Lauderdale FInancing Ltd,Mortgage Brokerage,Miami Gardens,"1999 Northwest 201st Terrace, Miami Gardens, Florida",-80.24793,25.95735,5395,1999
12-3456930,Hello New World Ltd,Mortgage Brokerage,New York,"145 104th Avenue, New York, New York",-73.74671,40.71169,,145
12-3456940,Kellam & Co,Mortgage Brokerage,Palmetto Bay,"1995 Southwest 79th Avenue, Palmetto Bay, Florida",-80.32132,25.62944,5765,1995
12-3456950,Finance you dreams Ltd,Mortgage Brokerage,Pompano Beach,"755 Northwest 33rd Drive, Pompano Beach, Florida",-80.16651,26.24345,6442,755
12-3456960,Anthony Rugazzelli,Mortgage Brokerage,Miami Gardens,"1554 NW 7th Ave, Miami Gardens, Florida",-80.21319,25.94221,5570,1554
12-3456970,Anthony Oliva,Mortgage Brokerage,Homestead,"815 Northeast 10th Court, Homestead, Florida",-80.42033,25.48054,3192,815
12-3456980,Pedro Sanchez Oliveira,Mortgage Brokerage,Fort Lauderdale,"1302 Breakers Avenue, Fort Lauderdale, Florida",-80.10488,26.13374,2188,1302
12-3456990,Alexis Gomez & Mario Suarez,Mortgage Brokerage,Miami,"1739 Southwest 71st Place, Miami, Florida",-80.31110,25.76398,5092,1739
12-3457000,Santiago Moreira da Souza,Mortgage Brokerage,Miami,"1002 Brickell Court, Miami, Florida",-80.20573,25.74975,4283,1002
12-3457010,Fidel Gomez ,Mortgage Brokerage,Fort Lauderdale,"438 Cordova Road, Fort Lauderdale, Florida",-80.12950,26.10562,2217,438
12-3457020,Mario & Co,Mortgage Brokerage,Cutler Bay,"1164 Southwest 204th Lane, Cutler Bay, Florida",-80.33402,25.57701,162,1164
12-3457030,David Levy,Mortgage Brokerage,Delray Beach,"244 Seacrest Boulevard, Delray Beach, Florida",-80.07131,26.48858,1687,244
12-3457040,Arthur Rosenblum,Mortgage Brokerage,Palmetto Bay,"438 Southwest 83rd Place, Palmetto Bay, Florida",-80.32927,25.63470,5782,438
12-3457050,Miguel Abensour,Mortgage Brokerage,Fort Lauderdale,"1512 Northeast 20th Avenue, Fort Lauderdale, Florida",-80.12078,26.16661,2363,1512
12-3457060,John Matthew Sr,Mortgage Brokerage,Kendall,"911 Southwest 133rd Street, Kendall, Florida",-80.37327,25.64553,4002,911
12-3457070,Beachhouse Financing,Mortgage Brokerage,Delray Beach,"1670 Dover Road, Delray Beach, Florida",-80.10596,26.44272,1232,1670
12-3457080,Mortgage and More LLc,Mortgage Brokerage,Fort Lauderdale,"1952 Northeast 15th Terrace, Fort Lauderdale, Florida",-80.12588,26.20263,2337,1952
12-3457090,Get your Mortgage now!,Mortgage Brokerage,Delray Beach,"314 Avenue H, Delray Beach, Florida",-80.07169,26.42871,1098,314
12-3457100,Antonio De Oliveria Conceiçao,Mortgage Brokerage,Delray Beach,"1925 Sunflower Avenue, Delray Beach, Florida",-80.10975,26.47471,1824,1925
12-3457110,Lewis Havana,Mortgage Brokerage,Kendall,"1392 Southwest 81st Avenue, Kendall, Florida",-80.32632,25.68468,4100,1392
12-3457120,Javier Castro & Son,Mortgage Brokerage,Edgewater,"1795 West Indian River Boulevard, Edgewater, Florida",-80.89609,28.97289,2134,1795
12-3457130,Lewis Haita & Co,Mortgage Brokerage,Palmetto Bay,"1980 Southwest 83rd Court, Palmetto Bay, Florida",-80.32845,25.62760,5781,1980
12-3457140,Ebenezer Rosenstein,Mortgage Brokerage,Miami,"1391 Northeast 60th Terrace, Miami, Florida",-80.19595,25.83147,4526,1391
12-3457150,Pedro Salazar ,Mortgage Brokerage,Fort Lauderdale,"1728 West Bus Loop, Fort Lauderdale, Florida",-80.16633,26.11316,3092,1728
12-3457160,Jim Everett,Mortgage Brokerage,Fort Lauderdale,"1966 Starlight Landing Drive, Fort Lauderdale, Florida",-80.16776,26.09975,3064,1966
12-3457170,Real Estate Miami,Mortgage Brokerage,Homestead,"648 Southeast 13th Road, Homestead, Florida",-80.45728,25.44184,3486,648
12-3457180,Florida Financing LLC,Mortgage Brokerage,Edgewater,"1539 East Indian River Boulevard, Edgewater, Florida",-80.89581,28.97280,1959,1539
12-3457190,Florida Real Estate,Mortgage Brokerage,Miami,"1600 Northwest 18th Avenue, Miami, Florida",-80.22534,25.79469,4628,1600
