Registration number,Legal name,Industry,City,address,Longitude,Latitude,Street Reference,Street nr
12-9652522,JonJon Real Estate,Realtor,Pompano Beach,"70 Cypress Grove Way, Pompano Beach, Florida",-80.18636,26.21330,6088,70
49-9802575,JonJon Realtor,Realtor,Pompano Beach,"428 Southeast 22nd Avenue, Pompano Beach, Florida",-80.10282,26.22039,6552,428
62-8851504,JonJon House and Condos,Realtor,Pompano Beach,"528 Northwest 12th Street, Pompano Beach, Florida",-80.14263,26.24294,6334,528
44-8442548,JonJon Best Deals,Realtor,Miami,"667 Spring Circle, Miami, Florida",-80.25465,25.71438,5109,667
35-3277136,JonJon Housing Market,Realtor,Kendall,"641 Southwest 91st Terrace, Kendall, Florida",-80.35760,25.68417,4176,641
91-8431424,Rubinstein Real Estate,Realtor,Miami,"1716 Northeast 43rd Street, Miami, Florida",-80.19280,25.81560,4498,1716
20-2131089,Rubinstein Best Deals,Realtor,Miami,"184 Jackson Street, Miami, Florida",-80.24072,25.73449,4374,184
99-6335591,Rubinstein Housing,Realtor,Miami,"1639 South Dixie Highway, Miami, Florida",-80.25232,25.73401,4892,1639
38-1577256,Malcom Dewey,Realtor,Miami Gardens,"1379 Northwest 158th Terrace, Miami Gardens, Florida",-80.28702,25.91722,5236,1379
78-7399455,Louis Seecay ,Realtor,Deerfield Beach,"1684 Northwest 36th Street, Deerfield Beach, Florida",-80.12772,26.27518,660,1684
75-1586940,Jean Poultrey,Realtor,Fort Lauderdale,"511 Northeast 7th Place, Fort Lauderdale, Florida",-80.11634,26.13464,2513,511
72-0951825,Johnson & Mark Real Estate,Realtor,Pompano Beach,"1291 North Powerline Road, Pompano Beach, Florida",-80.15159,26.24022,6146,1291
15-7398767,Aldo Patrick Inc,Realtor,Pinecrest,"52 Southwest 75th Avenue, Pinecrest, Florida",-80.31656,25.66663,6006,52
15-9986255,Mordechai Englishman Ltd,Realtor,Palmetto Bay,"386 Southwest 88th Place, Palmetto Bay, Florida",-80.33529,25.60157,5799,386
10-9438282,John McCartney Inc,Realtor,Miami,"503 Northeast North Little River Drive, Miami, Florida",-80.17542,25.84615,4587,503
94-4114158,Beetlejuice Housing Market,Realtor,Miami,"145 Iris Lane, Austin, Texas",-97.84872,30.23142,4871,1932
86-4895885,Gianluca Pagliuca & Co,Realtor,Edgewater,"1876 Silver Circle, Edgewater, Florida",-80.89168,28.96251,2105,1876
62-2561215,Javier Zanetti Inc,Realtor,Miami,"580 Claughton Island Drive, Miami, Florida",-80.18482,25.76498,4304,580
04-6658427,Blaise Matuidi Llc,Realtor,Pompano Beach,"1375 Northeast 16th Street, Pompano Beach, Florida",-80.09243,26.25299,6183,1375
04-4416342,Oliver Geerouw & Son,Realtor,Miami,"1057 Indiana Street, Miami, Florida",-80.24669,25.73345,4367,1057
61-0913511,Sunny Beach Real Estate,Realtor,Deerfield Beach,"572 Southwest 1st Avenue, Deerfield Beach, Florida",-80.10291,26.31694,921,572
39-0624993,Sunny Beach Housin Market,Realtor,Cutler Bay,"1571 Biscayne Trail, Cutler Bay, Florida",-80.33156,25.56083,20,1571
28-8579142,Sunny Beach Best Deals,Realtor,Miami Gardens,"971 Northwest 155th Terrace, Miami Gardens, Florida",-80.22543,25.91630,5231,971
19-7667346,Sunny Beach Condos & More,Realtor,Delray Beach,"1570 Southwest 21st Avenue, Delray Beach, Florida",-80.09396,26.44226,1767,1570
70-6808658,Moore & Moore Inc,Realtor,Homestead,"992 South Liberty Avenue, Homestead, Florida",-80.46579,25.45671,3469,992
