Internal id,first_name,last_name,full_name,email,phone,City,address,Longitude,Latitude,Annual revenues,Profession,Employer,Employer Reg number,Role,Street Reference,Street nr,Nationality
38-3749416,George,Yearnes,George Yearnes,gyearnes0@bing.com,317-927-5640,Homestead,"145 104th Avenue, New York, New York",-73.74671,40.71169,283545.85,Analyst Programmer,Gabspot,07-7436184,Client,3216,858,United States
49-6574770,Putnam,Gibbeson,Putnam Gibbeson,pgibbeson1@virginia.edu,725-174-4900,Deerfield Beach,"980 Northwest 3rd Way, Deerfield Beach, Florida",-80.10984,26.32551,4224.68,Compensation Analyst,Katz,80-8458800,Client,682,980,United States
73-6902520,Gage,Ugo,Gage Ugo,gugo2@phpbb.com,583-616-4300,Deerfield Beach,"943 Southeast 20th Avenue, Deerfield Beach, Florida",-80.07776,26.31337,429842.61,Desktop Support Technician,Voonder,16-3365522,Client,846,943,United States
32-5863581,Albert,Rantoul,Albert Rantoul,arantoul3@theatlantic.com,588-696-6211,Homestead,"1828 Northwest 15th Avenue, Homestead, Florida",-80.49582,25.48594,412330.04,Design Engineer,Podcat,12-5397218,Client,3343,1828,France
37-9503202,Abdel,Daish,Abdel Daish,adaish4@theatlantic.com,978-365-7130,Kendall,"1024 Southwest 77th Avenue Path, Kendall, Florida",-80.32072,25.68266,324434.79,Quality Engineer,Jabbercube,35-2927055,Client,4075,1024,United States
88-4601440,Arlin,Keene,Arlin Keene,akeene5@nytimes.com,635-105-4860,Delray Beach,"1909 Rhodes Villa Avenue, Delray Beach, Florida",-80.06318,26.44187,47800.68,Software Engineer II,Babbleset,67-0932343,Client,1660,1909,Russia
42-0069329,Ewan,Castleton,Ewan Castleton,ecastleton6@prlog.org,456-283-1612,Pinecrest,"1451 Southwest 71st Court, Pinecrest, Florida",-80.30960,25.65731,141834.27,Senior Editor,Gigashots,21-3690325,Client,5994,1451,France
82-0938138,Maxwell,Kilduff,Maxwell Kilduff,mkilduff7@freewebs.com,930-217-6150,Homestead,"892 Southeast 36th Terrace, Homestead, Florida",-80.42304,25.46881,350592.87,Product Engineer,Youopia,68-0600598,Client,3607,892,United States
52-8939475,Ruttger,Ledbury,Ruttger Ledbury,rledbury8@sun.com,412-298-0112,Pinecrest,"581 Southwest 60th Court, Pinecrest, Florida",-80.29089,25.65992,396799.92,Physical Therapy Assistant,Yamia,18-7674674,Client,5958,581,United States
14-7947022,Bondy,Lemon,Bondy Lemon,blemon9@xrea.com,249-300-6815,Cutler Bay,"585 Southwest 220th Terrace, Cutler Bay, Florida",-80.34213,25.56251,277653.16,Staff Accountant I,Avamm,66-5907152,Client,218,585,United States
70-0454204,Morley,Lippiello,Morley Lippiello,mlippielloa@bbb.org,220-721-3338,Miami,"1017 Southwest 54th Avenue, Miami, Florida",-80.28314,25.76961,337116.91,GIS Technical Architect,Feedfire,65-0480207,Client,5064,1017,United States
61-8842573,Yancey,Ben-Aharon,Yancey Ben-Aharon,ybenaharonb@freewebs.com,838-812-4173,Deerfield Beach,"1691 Capitol Court, Deerfield Beach, Florida",-80.15736,26.30121,35264.48,Geological Engineer,Kazio,45-5128797,Client,382,1691,United States
04-3964795,Aguste,Calderwood,Aguste Calderwood,acalderwoodc@ebay.co.uk,147-164-7638,Pinecrest,"552 Southwest 78th Court, Pinecrest, Florida",-80.32150,25.66740,171903.15,Research Nurse,Rhyzio,70-3229717,Client,6018,552,Russia
